번호	의료기관명	의사이름	진료시간1	진료시간2	진료시간3	진료시간4	진료시간5	진료시간6	진료시간7	진료시간8	진료시간9	진료시간10	진료시간11	진료시간12	진료시간13	진료시간14
25	건양의료재단 김안과병원	홍조다	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
26	고도일병원	진솔공	900	1000	1100	1200	1300	1400	1500	1600	1700					
27	고은빛여성병원	전식윤	900	1000	1100	1200	1300	1400	1500	1600	1700					
28	공안과병원	탁위산	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
29	광혜병원	나여림	900	1000	1100	1200	1300	1400	1500	1600	1700					
30	국립재활원	표연휘	900	1000	1100	1200	1300	1400	1500	1600	1700					
31	국립정신건강센터	장관언	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
32	금강아산병원(재단법인 아산사회복지재단)	윤세진	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
33	기쁨병원	금나두	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
34	김정수여러분병원	국흠범	900	1000	1100	1200	1300	1400	1500	1600	1700					
35	나누리병원	옥심직	900	1000	1100	1200	1300	1400	1500	1600	1700					
36	날개병원	강마량	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
37	남기세병원	소모준	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
38	누네안과병원	표학향	900	1000	1100	1200	1300	1400	1500	1600	1700					
39	뉴스타트병원	소식성	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
40	늘찬병원	기박빛	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
41	다일천사병원	나향규	900	1000	1100	1200	1300	1400	1500	1600	1700					
42	달려라병원	주혜도	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
43	담소유병원	양루선	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
44	대항병원	오장용	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
45	더본병원	주희학	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
46	더서울병원	구직혼	900	1000	1100	1200	1300	1400	1500	1600	1700					
47	더셀채원병원	홍백세	900	1000	1100	1200	1300	1400	1500	1600	1700					
48	더와이즈황병원	용리율	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
49	두발로병원	국조환	900	1000	1100	1200	1300	1400	1500	1600	1700					
50	디앤에프병원	박수추	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
51	라온휴병원	고흔위	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
52	로이병원	송별솔	900	1000	1100	1200	1300	1400	1500	1600	1700					
53	리더스병원	백옥리	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
54	리드힐병원	황환소	900	1000	1100	1200	1300	1400	1500	1600	1700					
55	리본병원	진윤순	900	1000	1100	1200	1300	1400	1500	1600	1700					
56	린여성병원	반순비	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
57	마디세상병원	여솜란	900	1000	1100	1200	1300	1400	1500	1600	1700					
58	맑은수병원	박완사	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
59	메드렉스병원	여림숭	900	1000	1100	1200	1300	1400	1500	1600	1700					
60	메디아이여성병원	안규휘	900	1000	1100	1200	1300	1400	1500	1600	1700					
61	메디힐병원	배린술	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
62	목동제일여성병원	차란기	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
63	목동힘찬병원	여복초	900	1000	1100	1200	1300	1400	1500	1600	1700					
64	미래드림여성병원	전정세	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
65	미래본병원	금형뜸	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
66	민병원	추선원	900	1000	1100	1200	1300	1400	1500	1600	1700					
67	민트병원	위노조	900	1000	1100	1200	1300	1400	1500	1600	1700					
68	바로선병원	배범유	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
69	바른본병원	배석상	900	1000	1100	1200	1300	1400	1500	1600	1700					
70	바른사랑병원	현늘산	900	1000	1100	1200	1300	1400	1500	1600	1700					
71	반도정형외과병원	하영모	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
72	방병원	강담세	900	1000	1100	1200	1300	1400	1500	1600	1700					
73	방화병원	남량담	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
74	본서부병원	조엽요	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
75	비에비스나무병원	전탐용	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
76	빠른병원	원온려	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
77	사랑의병원	손의애	900	1000	1100	1200	1300	1400	1500	1600	1700					
78	사랑플러스병원	이량진	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
79	사회복지법인 성가소비녀회 성가복지병원	유슬번	900	1000	1100	1200	1300	1400	1500	1600	1700					
80	삼성미래여성병원	표철일	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
81	새길병원	조훈현	900	1000	1100	1200	1300	1400	1500	1600	1700					
82	새로운병원	석마더	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
83	새숨병원	강흔문	900	1000	1100	1200	1300	1400	1500	1600	1700					
84	새움병원	구루장	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
85	서울21세기병원	진일슬	900	1000	1100	1200	1300	1400	1500	1600	1700					
86	서울고든병원	오종정	900	1000	1100	1200	1300	1400	1500	1600	1700					
87	서울나은병원	오직선	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
88	서울노보스병원	양롱중	900	1000	1100	1200	1300	1400	1500	1600	1700					
89	서울대효병원	장새아	900	1000	1100	1200	1300	1400	1500	1600	1700					
90	서울대효병원	염누찬	900	1000	1100	1200	1300	1400	1500	1600	1700					
91	서울라본병원	염지송	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
92	서울바른병원	박다슬	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
93	서울바른세상병원	신엄월	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
94	서울병원	반련더	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
95	서울병원	주랑단	900	1000	1100	1200	1300	1400	1500	1600	1700					
96	서울본브릿지병원	진한롱	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
97	서울석병원	금탁위	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
98	서울선병원	변루창	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
99	서울세계로병원	국악웅	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
100	서울송도병원	위배빈	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
101	서울숭인병원	천휴홍	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
102	서울스타병원	여권설	900	1000	1100	1200	1300	1400	1500	1600	1700					
103	서울양병원	남종타	900	1000	1100	1200	1300	1400	1500	1600	1700					
104	서울연세병원	옥사보	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
105	서울원병원	신설조	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
106	서울유병원	장라휴	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
107	서울재활병원	국빛백	900	1000	1100	1200	1300	1400	1500	1600	1700					
108	서울척병원	신울성	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
109	서울특별시 북부병원	노휴윤	900	1000	1100	1200	1300	1400	1500	1600	1700					
110	서울특별시서북병원	왕초솜	900	1000	1100	1200	1300	1400	1500	1600	1700					
111	서울특별시서울의료원강남분원	구진비	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
112	서울특별시어린이병원	용건권	900	1000	1100	1200	1300	1400	1500	1600	1700					
113	서울프라임병원	민조을	900	1000	1100	1200	1300	1400	1500	1600	1700					
114	서울현대병원	변흥욱	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
115	서재곤링커병원	위월흥	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
116	선수촌병원	임별홍	900	1000	1100	1200	1300	1400	1500	1600	1700					
117	선한목자병원	표복삼	900	1000	1100	1200	1300	1400	1500	1600	1700					
118	성북우리아이들병원	추창늘	900	1000	1100	1200	1300	1400	1500	1600	1700					
119	세바른병원	채현심	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
120	세솟는정형외과병원	제모연	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
121	소화병원(의료법인 소화병원)	설우직	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
122	솔병원	하엽경	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
123	신세계서울병원	임상변	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
124	신일병원	나라식	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
125	신촌연세병원	민성우	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
126	실로암안과병원	신석복	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
127	심정병원	방추화	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
128	아름제일병원	왕보변	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
129	아이디병원	왕빛담	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
130	아카시아병원	소춘배	900	1000	1100	1200	1300	1400	1500	1600	1700					
131	안강병원	전남태	900	1000	1100	1200	1300	1400	1500	1600	1700					
132	어울림병원	위효후	900	1000	1100	1200	1300	1400	1500	1600	1700					
133	에스앤유서울병원	어번추	900	1000	1100	1200	1300	1400	1500	1600	1700					
134	에이치큐브병원	민철길	900	1000	1100	1200	1300	1400	1500	1600	1700					
135	연세건우병원	고인정	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
136	연세노블병원	고연면	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
137	연세무척나은병원	방도연	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
138	연세바로척병원	조숙이	900	1000	1100	1200	1300	1400	1500	1600	1700					
139	연세바른병원	원일하	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
140	연세본병원	변디권	900	1000	1100	1200	1300	1400	1500	1600	1700					
141	연세사랑모아여성병원	고무운	900	1000	1100	1200	1300	1400	1500	1600	1700					
142	연세사랑병원	위기판	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
143	연세슬기병원	선시선	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
144	연세한강병원	인원라	900	1000	1100	1200	1300	1400	1500	1600	1700					
145	염창환병원	신용춘	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
146	영동병원	장승반	900	1000	1100	1200	1300	1400	1500	1600	1700					
147	예스병원	설천덕	900	1000	1100	1200	1300	1400	1500	1600	1700					
148	올림픽병원	소홍섬	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
149	올바로병원	조잎송	900	1000	1100	1200	1300	1400	1500	1600	1700					
150	올바른서울병원	손안헌	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
151	우리들병원	지용얀	900	1000	1100	1200	1300	1400	1500	1600	1700					
152	웰튼병원	홍판량	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
153	위비앙병원	변해호	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
154	유광사여성병원	권훔견	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
155	윤호병원	권무미	900	1000	1100	1200	1300	1400	1500	1600	1700					
156	은평연세병원	용혁혼	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
157	의료법인 나누리병원	선래연	900	1000	1100	1200	1300	1400	1500	1600	1700					
158	의료법인 상원의료재단 강북힘찬병원	연춘섬	900	1000	1100	1200	1300	1400	1500	1600	1700					
159	의료법인 서울효천의료재단 에이치플러스자립병원	염출다	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
160	의료법인 성누가의료재단 성누가병원	구려얀	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
161	의료법인 우리아이들 의료재단 우리아이들병원	방번은	900	1000	1100	1200	1300	1400	1500	1600	1700					
162	의료법인 우신향병원	채조엽	900	1000	1100	1200	1300	1400	1500	1600	1700					
163	의료법인 원중의료재단 우리내일병원	어배재	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
164	의료법인 인봉의료재단 영등포병원	엄황겸	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
165	의료법인 청해의료재단 제일병원	유번바	900	1000	1100	1200	1300	1400	1500	1600	1700					
166	의료법인 춘혜의료재단 명지춘혜재활병원	육복실	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
167	의료법인마리아의료재단마리아병원	박화윤	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
168	의료법인마리아의료재단마리아병원	옥승엽	900	1000	1100	1200	1300	1400	1500	1600	1700					
169	의료법인서광의료재단 성북중앙병원	심늬건	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
170	의료법인성석의료재단동작경희병원	심뜸예	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
171	의료법인정애의료재단서울초이스병원	방후찬	900	1000	1100	1200	1300	1400	1500	1600	1700					
172	의료법인제민의료재단동서병원	민균모	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
173	의료법인한국의료재단프라임병원	오성혁	900	1000	1100	1200	1300	1400	1500	1600	1700					
174	인정병원	성규월	900	1000	1100	1200	1300	1400	1500	1600	1700					
175	장스여성병원	추우실	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
176	장튼위튼병원	황판반	900	1000	1100	1200	1300	1400	1500	1600	1700					
177	재단법인대성병원	홍병양	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
178	재단법인대한스포츠의학재단강남나무병원	허명실	900	1000	1100	1200	1300	1400	1500	1600	1700					
179	재단법인베스티안재단베스티안서울병원	조악잎	900	1000	1100	1200	1300	1400	1500	1600	1700					
180	정동병원	민평현	900	1000	1100	1200	1300	1400	1500	1600	1700					
181	정병원	문슬태	900	1000	1100	1200	1300	1400	1500	1600	1700					
182	제니스병원	편문린	900	1000	1100	1200	1300	1400	1500	1600	1700					
183	제이여성병원	한늘심	900	1000	1100	1200	1300	1400	1500	1600	1700					
184	제일정형외과병원	심고순	900	1000	1100	1200	1300	1400	1500	1600	1700					
185	조앤조병원	은타환	900	1000	1100	1200	1300	1400	1500	1600	1700					
186	조은마디병원	성예직	900	1000	1100	1200	1300	1400	1500	1600	1700					
187	조인트힐병원	변문노	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
188	지앤지병원	배태의	900	1000	1100	1200	1300	1400	1500	1600	1700					
189	지혜병원	주비실	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
190	참바로병원	송신잎	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
191	참튼튼병원	주예악	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
192	호산여성병원	정월덕	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
193	참튼튼병원	용남윤	900	1000	1100	1200	1300	1400	1500	1600	1700					
194	참포도나무병원	김여세	900	1000	1100	1200	1300	1400	1500	1600	1700					
195	참푸른병원	연설바	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
196	척편한병원	송항혜	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
197	청담병원	설숙현	900	1000	1100	1200	1300	1400	1500	1600	1700					
198	청병원	이의으	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
199	청화병원	염건회	900	1000	1100	1200	1300	1400	1500	1600	1700					
200	최원호병원	신을민	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
201	케이에스병원	위충혼	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
202	코리아병원	염보시	900	1000	1100	1200	1300	1400	1500	1600	1700					
203	태릉마이크로병원	지조단	900	1000	1100	1200	1300	1400	1500	1600	1700					
204	토마스병원	위봉열	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
205	튼튼병원	류휴대	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
206	파로스병원	원균비	900	1000	1100	1200	1300	1400	1500	1600	1700					
207	팔팔병원	신디출	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
208	포미즈여성병원	박아헌	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
209	핑크힐병원	유바근	900	1000	1100	1200	1300	1400	1500	1600	1700					
210	하나이비인후과병원	천항환	900	1000	1100	1200	1300	1400	1500	1600	1700					
211	하늘병원	엄자늬	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
212	학교법인대진교육재단 제인병원	제미란	900	1000	1100	1200	1300	1400	1500	1600	1700					
213	한강수병원	문으설	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
214	한솔병원	권병조	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
215	햇빛병원	원향준	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
216	허리나은병원	구뜸모	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
217	혜민안과병원	채란린	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
218	(의)가산의료재단 광동한방병원	곽흠중	900	1000	1100	1200	1300	1400	1500	1600	1700					
219	365다시재한방병원	한부박	900	1000	1100	1200	1300	1400	1500	1600	1700					
220	강남위담한방병원	엄뜸섭	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
221	강동모커리한방병원	한운변	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
222	강동한방병원	함철대	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
223	경희비체담한의원	방솔향	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
224	광덕안정한방병원	김태영	900	1000	1100	1200	1300	1400	1500	1600	1700					
225	광화문자생한방병원	유여추	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
226	기분좋은한방병원	편루노	900	1000	1100	1200	1300	1400	1500	1600	1700					
227	대윤한방병원	권아요	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
228	더웰샘한방병원	조한려	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
229	메디람한방병원	금건관	900	1000	1100	1200	1300	1400	1500	1600	1700					
230	면력한방병원	용유학	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
231	모아한방병원	류황여	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
232	모커리한방병원	위선흔	900	1000	1100	1200	1300	1400	1500	1600	1700					
233	무척바른한방병원	권유광	900	1000	1100	1200	1300	1400	1500	1600	1700					
234	미올한방병원	석솔량	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
235	봄담한방병원	염모상	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
236	서울미르한방병원	허근시	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
237	서울제일한방병원	성언리	900	1000	1100	1200	1300	1400	1500	1600	1700					
238	성북미올한방병원	임예면	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
239	소람한방병원	어오령	900	1000	1100	1200	1300	1400	1500	1600	1700					
240	솔빛한방병원	천루슬	900	1000	1100	1200	1300	1400	1500	1600	1700					
241	시온한방병원	송개마	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
242	실버한방병원	차철찬	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
243	유원한의원	조수솜	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
244	의료법인해인의료재단 동신한방병원	변범근	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
245	이건목원리한방병원	박울견	900	1000	1100	1200	1300	1400	1500	1600	1700					
246	이솝한방병원	강담추	900	1000	1100	1200	1300	1400	1500	1600	1700					
247	자생한방병원	정율단	900	1000	1100	1200	1300	1400	1500	1600	1700					
248	잠실포레스트한방병원	나보백	900	1000	1100	1200	1300	1400	1500	1600	1700					
249	장덕한방병원	선나익	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
250	재단법인자생의료재단목동자생한방병원	황인관	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
251	치유본한방병원	황장회	900	1000	1100	1200	1300	1400	1500	1600	1700					
252	포레스트한방병원	이란섭	900	1000	1100	1200	1300	1400	1500	1600	1700					
253	학교법인혜화학원 대전대학교서울한방병원	제채경	900	1000	1100	1200	1300	1400	1500	1600	1700					
254	강남클리어치과의원	전태찬	900	1000	1100	1200	1300	1400	1500	1600	1700					
255	보아치과의원	최래안	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
256	굿라이프치과병원	류제면	900	1000	1100	1200	1300	1400	1500	1600	1700					
257	동민허브치과의원	육늘양	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
258	이선국치과의원	위으재	900	1000	1100	1200	1300	1400	1500	1600	1700					
259	제아치과의원	현재마	900	1000	1100	1200	1300	1400	1500	1600	1700					
260	이치원치과의원	석유춘	900	1000	1100	1200	1300	1400	1500	1600	1700					
261	서울허브치과의원	남회기	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
262	서울플러스치과의원	정창미	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
263	연세굿데이치과의원	백탁채	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
264	최정원치과의원	이병경	900	1000	1100	1200	1300	1400	1500	1600	1700					
265	강남서울치과의원	정헌석	900	1000	1100	1200	1300	1400	1500	1600	1700					
266	웃는내일치과교정과치과의원	구량효	900	1000	1100	1200	1300	1400	1500	1600	1700					
267	정우선치과교정과치과의원	구희관	900	1000	1100	1200	1300	1400	1500	1600	1700					
268	박세진치과의원	공고심	900	1000	1100	1200	1300	1400	1500	1600	1700					
269	보스톤치과의원	노환태	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
270	노박치과의원	길묵나	900	1000	1100	1200	1300	1400	1500	1600	1700					
271	스마일라인치과의원	곽호의	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
272	닥터이지치과의원	국새추	900	1000	1100	1200	1300	1400	1500	1600	1700					
273	사랑니를부탁해구강악안면외과치과의원	용근창	900	1000	1100	1200	1300	1400	1500	1600	1700					
274	구정치과의원	주언련	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
275	서울더블유치과의원	진화효	900	1000	1100	1200	1300	1400	1500	1600	1700					
276	서울메이치과의원	유승범	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
277	라미치과의원	위무항	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
278	청담미치과의원	윤손누	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200
